Material_Code,Material_Description,Base_Abb,Base_Type,Moulding_Type_Abb,Moulding_Type,Product_Type_Abb,Product_Type,Colour_TF,Dimensions_Vibration_Drops_EU,Project_Phase,Certification,Base_Colour,Additional_Colour,Kosher_Certificate_Abb,Kosher_Certificate,Country_Claim,FP_TYPE3_CLV_S,LEGISLATION_L,DOSAGE_COLD_MILK_CLV_S,DOSAGE_COLD_WATER_CLV_S,DOSAGE_HOT_MILK_CLV_S,DOSAGE_HOT_WATER_CLV_S,Fineness_Type,Colour_L_Value_From,pH_From,pH_To,Normalised_Linear_Mpa_S_From,Normalised_Linear_Viscosity_mPaS_To,Normalised_Casson_mPaS_From,Normalised_Casson_mPaS_To,Normalised_Yield_Pa_From,Normalised_Yield_Pa_To,Fineness_Micrometer_From,Fineness_Micrometer_To,Dimensions_Length_From,Dimensions_Length_To,Dimensions_Width_From,Dimensions_Width_To,Dimensions_Count_Kg_From,Dimensions_Count_Kg_To,Dimensions_Sieve_Fraction_From,Dimensions_Sieve_Fraction_To,Dimensions_Height_From,Dimensions_Height_To,Dimensions_Count_lb_From,Dimensions_Count_lb_To,Brookfield_40C_S27_20_RPM_From,Brookfield_40C_S27_20_RPM_To,Brookfield_50C_S27_20_RPM_From,Brookfield_50C_S27_20_RPM_To,Brookfield_50C_S27_Regression_From,Brookfield_50C_S27_Regression_To,Brookfield_50C_S27_Yield_From,Brookfield_50C_S27_Yield_To,Brookfield_40C_S27_Regression_From,Brookfield_40C_S27_Regression_To,Brookfield_40C_S27_Yield_From,Brookfield_40C_S27_Yield_To,Water_Activity_From,Water_Activity_To,Shelflife,Category,Region,Cust_Dedic,Proj_Phase,Plant_BoM_Owner,Underlying_Liquid,Colour_TF2,Project_Manager,Dimensions_Vibration_Drops_EU2,Project_Number,Dimensions_Production_Tools_Us,Certification2,Project_Phase2,Base_Colour2,Additional_Colour2,Country_Claim2,M022_01_ATFLV_CLV_N,M022_01_ATFLB_CLV_N,M022_02_ATFLV_CLV_N,M022_02_ATFLB_CLV_N,M023_01_ATFLV_CLV_N,M023_01_ATFLB_CLV_N
JWF-189QYEL-Z53,CR CARMA QUICK GEL 14KG/EA 52EA/PAL,F,Flavoured based on white!,BUM,bucket/box up to 15 kg,JW,jelly waterbased,,,Final Article,HALA,,,KD-,Kosher Dairy,Swiss Made,NTA,,,,,,,,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9,12,9,32,S,A,CH03,,,LPF,,,,HALA,A,,,MIS,,,,,,
JWF-190QYEL-000,"CR CARMA QUICK GEL, GELB LIQUID",F,Flavoured based on white!,LIQ,Liquid,JW,jelly waterbased,,,Final Article,HALA,,,KD-,Kosher Dairy,Swiss Made,NTA,,,,,,,,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9,1,9,32,S,A,CH03,,,LPF,,,,HALA,A,,,MIS,,,,,,
JWF-190QYEL-Z53,CR CARMA QUICK GEL 14KG/EA 52EA/PAL,F,Flavoured based on white!,BUM,bucket/box up to 15 kg,JW,jelly waterbased,,,Final Article,HALA,,,KD-,Kosher Dairy,Swiss Made,NTA,,,,,,,,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9,12,9,32,S,A,CH03,,,LPF,,,,HALA,A,,,MIS,,,,,,
JWW-007CLEAR-000,"BC CLEAR GEL, FEST LIQUID",W,White,LIQ,Liquid,JW,jelly waterbased,,,Final Article,HALA,,,KD-,Kosher Dairy,Swiss Made,NTA,,,,,,,,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9,1,9,32,S,A,CH03,,,LPF,,,,HALA,A,,,MIS,,,,,,
JWW-007CLEAR-642,CR CLEAR GEL 6KG/EA 72EA/PAL,W,White,BUM,bucket/box up to 15 kg,JW,jelly waterbased,,,Final Article,HALA,,,KD-,Kosher Dairy,Swiss Made,NTA,,,,,,,,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9,12,9,32,S,A,CH03,,,LPF,,,,HALA,A,,,MIS,,,,,,
JWW-007CLEAR-671,"CR CLEAR GEL 12,5KG/EA 52EA/PAL",W,White,BUM,bucket/box up to 15 kg,JW,jelly waterbased,,,Final Article,HALA,,,KD-,Kosher Dairy,Swiss Made,NTA,,,,,,,,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9,12,9,32,S,A,CH03,,,LPF,,,,HALA,A,,,MIS,,,,,,
JWW-007CLEAR-Z54,"CR CLEAR GEL 2,5KG/EA 192EA/PAL",W,White,BUS,bucket/box up to 5 kg,JW,jelly waterbased,,,Final Article,HALA,,,KD-,Kosher Dairy,Swiss Made,NTA,,,,,,,,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9,12,9,32,S,A,CH03,,,LPF,,,,HALA,A,,,MIS,,,,,,
JWW-007QCLE-Z53,CR CARMA QUICK GEL 14KG/EA 52EA/PAL,W,White,BUM,bucket/box up to 15 kg,JW,jelly waterbased,,,Final Article,HALA,,,KD-,Kosher Dairy,Swiss Made,NTA,,,,,,,,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.87,12,9,32,S,A,CH03,,,LPF,,,,HALA,A,,,MIS,,,,,,
JWW-015BRICO-000,BC BRILLANT GEL LIQUID,W,White,LIQ,Liquid,JW,jelly waterbased,,,Final Article,HALA,,,KD-,Kosher Dairy,Swiss Made,NTA,,,,,,,,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9,1,9,32,S,A,CH03,,,LPF,,,,HALA,A,,,MIS,,,,,,
JWW-015BRICO-642,CR BRILLANT GEL 6KG/EA 72EA/PAL,W,White,BUM,bucket/box up to 15 kg,JW,jelly waterbased,,,Final Article,HALA,,,KD-,Kosher Dairy,Swiss Made,NTA,,,,,,,,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9,12,9,32,S,A,CH03,,,LPF,,,,HALA,A,,,MIS,,,,,,
